FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Label
image-030,68,259,240,527,954,10.5,
image-030,69,258,342,439,958,9.5,
image-030,70,211,86,455,1003,8.931034482758621,
image-030,71,226,449,87,989,8.8,
image-030,72,174,39,440,1037,9.095238095238095,
image-030,73,187,415,259,1028,7.875,
image-030,74,188,574,173,1028,8.833333333333334,
image-030,75,171,563,162,1046,9.375,
image-030,76,170,677,49,1028,8.5,
image-030,77,136,146,518,1081,9.066666666666666,
image-030,78,45,39,679,1110,7.949999999999999,
image-030,79,95,232,523,1119,11.25,
image-030,80,55,240,530,1160,10,
image-030,81,46,339,437,1110,9.875,
image-030,82,75,415,304,1140,8.1,
image-030,83,115,509,149,1101,9.466666666666667,
image-030,84,75,583,175,1141,8.4,
image-030,85,58,677,50,1139,8.5625,
image-031,0,151,289,288,1058,10.619047619047619,
image-032,0,1197,71,39,12,10.454545454545455,
image-032,1,1103,39,33,73,11.566810344827587,
image-032,2,995,75,681,222,8.8,
image-032,3,1009,200,534,206,9.785714285714285,
image-032,4,979,207,540,238,8.833333333333334,
image-032,5,980,326,401,205,8.517857142857144,
image-032,6,996,449,303,219,9.6,
image-032,7,1011,575,163,206,8.857142857142858,
image-032,8,980,579,169,237,8.666666666666666,
image-032,9,980,680,47,205,8.44047619047619,
image-032,10,889,58,667,326,7.5,
image-032,11,864,58,667,352,7.5,
image-032,12,839,58,670,377,7.2,
image-032,13,813,55,670,402,7.5,
image-032,14,788,56,669,427,7.5,
image-032,15,834,204,505,383,9.1,
image-032,16,889,350,431,326,9.5,
image-032,17,789,348,430,351,9.75,
image-032,18,864,431,288,326,8.1,
image-032,19,789,431,288,426,8.1,
image-032,20,758,431,288,457,8.1,
image-032,21,890,558,150,326,9.2,
image-032,22,864,558,146,351,9.6,
image-032,23,849,582,173,369,9,
image-032,24,833,558,150,384,9.2,
image-032,25,763,576,148,436,9.333333333333334,
image-032,26,890,705,76,326,9.5,
image-032,27,864,705,77,351,9,
image-032,28,759,703,77,426,9.5,
image-032,29,665,73,439,535,8.748251748251748,
image-032,30,675,508,150,540,9.466666666666667,
image-032,31,606,57,666,609,7.7,
image-032,32,592,178,518,609,8.844444444444445,
image-032,33,607,348,433,607,9.5,
image-032,34,611,432,290,605,7.8,
image-032,35,595,549,145,606,8.696969696969695,
image-032,36,611,703,80,604,8.5,
image-032,37,511,153,510,706,9.133333333333333,
image-032,38,515,517,145,703,9.2,
image-032,39,435,53,672,780,7.5,
image-032,40,420,166,509,783,8.238095238095237,
image-032,41,436,346,436,780,9,
image-032,42,449,429,294,767,7.7,
image-032,43,449,703,80,766,8.5,
image-032,44,349,50,672,842,7.65,
image-032,45,324,52,673,892,7.5,
image-032,46,263,55,670,953,7.5,
image-032,47,162,52,673,1028,7.5,
image-032,48,317,197,510,851,8.567063492063493,
image-032,49,245,173,513,951,8.734615384615385,
image-032,50,156,190,508,1031,8.905050505050504,
image-032,51,325,345,435,841,9.666666666666666,
image-032,52,263,343,437,952,10,
image-032,53,187,343,437,1026,10,
image-032,54,140,317,410,1060,8.625,
image-032,55,403,427,293,813,8,
image-032,56,378,429,296,838,7.5,
image-032,57,354,427,293,862,8,
image-032,58,302,426,294,887,8,
image-032,59,277,429,296,938,7.5,
image-032,60,227,429,296,964,7.5,
image-032,61,200,429,296,1014,7.5,
image-032,62,175,424,295,1040,11.571428571428571,
image-032,63,312,564,150,888,8.133333333333333,
image-032,64,248,572,160,921,8.538690476190476,
image-032,65,378,701,80,812,8.75,
image-032,66,352,702,80,862,9,
image-032,67,327,701,80,888,9.5,
image-032,68,277,701,80,914,9.5,
image-032,69,251,701,82,965,8.5,
image-032,70,173,699,80,990,9.5,
image-032,71,101,55,670,1114,7.5,
image-032,72,100,196,538,1116,9.428571428571429,
image-032,73,102,344,439,1114,8.5,
image-032,74,28,61,433,1184,9.272727272727273,
image-033,0,1169,31,745,41,12,
image-033,1,1168,119,123,44,10.528301886792454,
